,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
263,Chest Dip,Assisted,No,Basic,Compound,Push,"Mountwide dip barwith oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Step down onto assistance lever with hips and knees bent.","Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders, push body up until arms are straight. Repeat.","Pectoralis Major Sternal,","Deltoid, Anterior, Triceps Brachii, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Teres Major, Coracobrachialis, ","Trapezius, Lower, ",,,Chest,3,"Triceps Brachii, Anterior Deltoid",
264,Chest Dip:  kneeling,Assisted,Yes,Basic,Compound,Push,"Mountwide dip barwith oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Kneel on padded platform, lowering it down slightly so hips are slightly bent.","Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders push body up until arms are straight. Repeat.","Pectoralis Major Sternal,","Deltoid, Anterior, Triceps Brachii, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Teres Major, Coracobrachialis, ","Trapezius, Lower, ",,,Chest,2,"Triceps Brachii, Anterior Deltoid",263
265,Bench Press,Barbell,No,Basic,Compound,Push,Lie supine on bench. Dismount barbell from rack over upper chest using wide oblique overhand grip.,Lower weight to chest. Press bar upward until arms are extended. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
266,Bench Press:  Power Lift,Barbell,Yes,Basic,Compound,Push,"Lie supine on bench. Grasp bar with overhand and slightly wider than shoulder width grip. Arch back, extend hips, and position feet back flat on floor. Dismount barbell from rack over chest.",Lower weight to lower chest. Press bar upward until arms are extended. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ","Erector Spinae, Gluteus Maximus, ",,"Biceps Brachii, Short Head, ",Chest,4,"Triceps Brachii, Anterior Deltoid",265
267,Decline Bench Press,Barbell,No,Basic or Auxiliary,Compound,Push,Lie supine on decline bench with feet under leg brace. Dismount barbell from rack over chest using wide oblique overhand grip.,Lower weight to chest. Press bar until arms are extended. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
268,Flies,Cable,No,Auxiliary,Isolated,Push,"Grasp two opposing low pulley stirrup attachments. Lie supine on bench, in middle and perpendicular to both pulleys. Slightly bend elbows and internally rotate shoulders so elbows are back.",Bring cable attachments together in hugging motion with elbows in fixed position and shoulders internally rotated so elbows are to sides. Return to starting position until slight stretch. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Biceps Brachii, Short Head, Coracobrachialis, ","Biceps Brachii, Brachialis, Triceps Brachii, Wrist Flexors, ",,,Chest,2,Anterior Deltoid,
269,Flies:  Lying Fly,Cable,Yes,Auxiliary,Isolated,Push,"Grasp two opposing low pulley stirrup attachments. Lie supine on bench, in middle and perpendicular to both pulleys. Slightly bend elbows and internally rotate shoulders so elbows are back.",Bring cable attachments together in hugging motion with elbows in fixed position and shoulders internally rotated so elbows are to sides. Return to starting position until slight stretch. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Biceps Brachii, Short Head, Coracobrachialis, ","Biceps Brachii, Brachialis, Triceps Brachii, Wrist Flexors, ",,,Chest,2,Anterior Deltoid,268
270,Flies:  Seated Fly,Cable,Yes,Auxiliary,Isolated,Push,Sit on seat and grasp stirrups to each side. Slightly bend elbows and internally rotate shoulders so elbows are back.,"Keeping elbows pointed high, bring cable attachments together in hugging motion with elbows in fixed position. Return to starting position until slight stretch. Repeat.","Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Biceps Brachii, Short Head, Coracobrachialis, ","Biceps Brachii, Brachialis, Triceps Brachii, Wrist Flexors, ",,,Chest,2,Anterior Deltoid,268
271,Flies:  Standing Fly,Cable,Yes,Auxiliary,Isolated,Push,Grasp two opposing high pulley dumbbell attachments. Stand with pulleys to each side. Bend over slightly by flexing hips and knees. Bend elbows slightly and internally rotate shoulders so elbows are back initially.,Bring cable attachments together in hugging motion with elbows in fixed position. Keep shoulders internally rotated so elbows are pointed upward at top and out to sides at bottom. Return to starting position until chest muscles are stretched. Repeat.,"Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Coracobrachialis, ","Biceps Brachii, Brachialis, Triceps Brachii, Wrist Flexors, Rectus Abdominis, Obliques, ","Erector Spinae, ",,Chest,2,Anterior Deltoid,268
272,Presses,Cable,No,Basic or Auxiliary,Compound,Push,Lie on bench and grasp stirrups attached to low cable pulley on each side. Position stirrups out to each side of chest with bent arm under each wrist.,"Push stirrups up over each shoulder until arms are straight and parallel to one another. Return stirrups to original position, until slight stretch is felt in shoulders or chest. Repeat.","Pectoralis Major Sternal,","Pectoralis Major, Clavicular, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,"Biceps Brachii, Short Head, ",Chest,3,"Triceps Brachii, Anterior Deltoid",
