,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
,Front Raise,Body Weight,No,Auxiliary,Isolated,Push,"Find one or two objects of a manageable weight, easy to hold. Position item(s) in front of upper legs with elbows straight or slightly bent.",Raise item(s) forward and upward until upper arms are above horizontal. Lower and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Anterior Deltoid, Serratus Anterior",
20,Front Raise,Barbell,No,Auxiliary,Isolated,Push,Grasp barbell with overhand grip with elbows straight or slightly bent.,Raise barbell forward and upward until upper arms are above horizontal. Lower and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Anterior Deltoid, Serratus Anterior",
21,Military Press,Barbell,No,Basic,Compound,Push,"Grasp barbell from rack orcleanbarbell from floor with overhand grip, slightly wider than shoulder width. Position bar in front of neck.",Press bar upward until arms are extended overhead. Lower to front of neck and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Triceps Brachii, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, Short Head, ",Shoulder,4,"Lateral Deltoid, Triceps Brachii",
22,Military Press:  Seated,Barbell,Yes,Basic,Compound,Push,Grasp barbell with slightly wider than shoulder width overhand grip from rack. Position bar near upper chest.,Press bar upward until arms are extended overhead. Return to upper chest and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",21
23,Front Raise,Cable,No,Auxiliary,Isolated,Push,Sit on seat above twin cable pulleys. Grasp stirrups on each side. Sit upright with arms straight down to each side with palms facing back.,Raise stirrups forward and upward until upper arms are well above horizontal. Lower and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Anterior Deltoid, Serratus Anterior",
24,Front Raise:  Alternating,Cable,Yes,Auxiliary,Isolated,Push,"Stand with low double pulleys behind. Grasp stirrup attachments, one in each hand. Stand away from pulley slightly with arms back somewhat at side and elbows straight or slightly bent.","Raise one stirrup forward and upward until upper arm is well above horizontal. Lower and repeat with opposite arm, alternating between arms.","Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Anterior Deltoid, Serratus Anterior",23
25,Front Raise:  One Arm,Cable,Yes,Auxiliary,Isolated,Push,Grasp stirrup attachment. Stand away from pulley slightly with arm back somewhat at side and elbow straight or slightly bent.,Raise stirrup forward and upward until upper arm is well above horizontal. Lower and repeat. Repeat with opposite arm.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Anterior Deltoid, Serratus Anterior",23
26,Shoulder Press,Cable,No,Basic or Auxiliary,Compound,Push,Stand between two low to medium height pulleys. Grasp cable stirrups from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.,Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
27,Shoulder Press:  Seated,Cable,Yes,Basic or Auxiliary,Compound,Push,Sit on seat and grasp stirrups from low to medium low position from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.,Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",26
28,Arnold Press,Dumbbell,No,Basic or Auxiliary,Compound,Push,"Stand with two dumbbells position in front of shoulders, palms facing body and elbows under wrists.",Initiate movement by bringing elbows out to sides. Continue to raise elbows outward while pressing dumbbells overhead until arms are straight. Lower to front of shoulders in opposite pattern and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, ",Shoulder,4,"Lateral Deltoid, Triceps Brachii",
29,Front Raise,Dumbbell,No,Auxiliary,Isolated,Push,Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.,Raise dumbbells forward and upward until upper arms are above horizontal. Lower and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Anterior Deltoid, Serratus Anterior",
30,Front Raise:  Alternating,Dumbbell,Yes,Auxiliary,Isolated,Push,Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.,"Raise one dumbbell forward and upward with palms positioned downward until upper arm is above horizontal. Lower and repeat with opposite arm, alternating between arms.","Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Anterior Deltoid, Serratus Anterior",29
31,Shoulder Press,Dumbbell,No,Basic,Compound,Push,Position dumbbells to each side of shoulders with elbows below wrists.,Press dumbbells upward until arms are extended overhead. Lower to sides of shoulders and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, Pectoralis Major, Clavicular, Coracobrachialis, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
