,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
84,Triceps Dip,Assisted,No,Basic,Compound,Push,"Mountshoulder width dip bar, arms straight with shoulders above hands. Step down onto assistance lever. Keep hips and knees straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"Triceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Coracobrachialis, ","Trapezius, Lower, ",,"Biceps Brachii, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",
85,Triceps Dip:  kneeling,Assisted,Yes,Basic,Compound,Push,"Mountshoulder width dip bar, arms straight with shoulders above hands. Kneel on padded platform, lowering it down slightly so hips are slightly bent.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"Triceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Coracobrachialis, ","Trapezius, Lower, ",,"Biceps Brachii, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",84
86,Close Grip Bench Press,Barbell,No,Basic,Compound,Push,Lie on bench and grasp barbell from rack with shoulder width grip.,Lower weight to chest with elbows close to body. Push barbell back up until arms are straight. Repeat.,"Triceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Coracobrachialis, ",,,"Biceps Brachii, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",
87,Lying Triceps Extension,Barbell,No,Basic,Isolated,Push,Lie on bench with narrow overhand grip on barbell. Position barbell over forehead with arms extended.,"Lower bar by bending elbows. As bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. Extend arms. As bar clears head, reposition elbows to their former position until arms are fully extended. Repeat.","Triceps Brachii,","None, ","Deltoid, Anterior, Pectoralis Major, Clavicular, Pectoralis Major, Sternal, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Coracobrachialis, Wrist Flexors, ",,,Upper Arms,3,Anterior Deltoid,
88,Lying Triceps Extension:  Skull Crusher,Barbell,Yes,Basic,Isolated,Push,Lie on bench with narrow overhand grip on barbell. Position barbell over shoulders with arms extended.,Lower bar to forehead by bending elbows. Extend arms and repeat.,"Triceps Brachii,","None, ","Deltoid, Anterior, Pectoralis Major, Clavicular, Pectoralis Major, Sternal, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Coracobrachialis, Wrist Flexors, ",,,Upper Arms,3,Anterior Deltoid,87
89,Triceps Extension,Barbell,No,Basic or Auxiliary,Isolated,Push,Sit on utility weight bench with barbell. Position barbell overhead with narrow overhand grip.,Lower barbell behind upper shoulders by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Raise barbell overhead by extending elbows until arms are positioned straight and vertical. Lower and repeat.,"Triceps Brachii,","None, ","Deltoid, Anterior, Pectoralis Major, Clavicular, Wrist Flexors, ",,,Upper Arms,2,Posterior Deltoid,
90,Bent-over Triceps Extension,Cable,No,Basic or Auxiliary,Isolated,Push,Sit on utility weight bench with barbell. Position barbell overhead with narrow overhand grip.,Lower barbell behind upper shoulders by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Raise barbell overhead by extending elbows until arms are positioned straight and vertical. Lower and repeat.,"Triceps Brachii,","None, ","Deltoid, Anterior, Pectoralis Major, Clavicular, Wrist Flexors, ",,,Upper Arms,2,Posterior Deltoid,
91,Pushdown,Cable,No,Basic or Auxiliary,Isolated,Push,Face high pulley and grasp cable attachment with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,"Triceps Brachii,","None, ","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Pectoralis Major, Sternal, Pectoralis Minor, Trapezius, Lower, Rectus Abdominis, Obliques, Wrist Flexors, ","Erector Spinae, ",,Upper Arms,2,Anterior Deltoid,
92,Pushdown:  One Arm,Cable,Yes,Auxiliary,Isolated,Push,Grasp dumbbell cable attachment with underhand grip. Position elbow to side.,Extend arm down. Return until forearm is close to upper arm. Repeat. Continue with opposite arm.,"Triceps Brachii,","None, ","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Pectoralis Major, Sternal, Pectoralis Minor, Trapezius, Lower, Obliques, Rectus Abdominis, Wrist Extensors, ","Erector Spinae, ",,Upper Arms,2,Anterior Deltoid,91
94,Pushdown:  with V-bar attachment,Cable,Yes,Auxiliary,Isolated,Push,Face high pulley and grasp V-bar attachment with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,"Triceps Brachii,","None, ","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Pectoralis Major, Sternal, Pectoralis Minor, Trapezius, Lower, Rectus Abdominis, Obliques, Wrist Flexors, ","Erector Spinae, ",,Upper Arms,2,Anterior Deltoid,91
95,Triceps Dip,Cable,No,Basic,Compound,Push,"Step betweenshoulder width dip barswith dip belt around waist. Kneel as close to low pulley and attach cable to dip belt. Stand up and mount dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body by bending arms until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"Triceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Rhomboids, Levator Scapulae, Latissimus Dorsi, Coracobrachialis, ","Trapezius, Lower, ",,"Biceps Brachii, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",
96,Triceps Extension,Cable,No,Basic or Auxiliary,Isolated,Push,Stand or sit on bench or seat with back support just below shoulders. Position cable bar behind neck or shoulders with narrow overhand grip. Position elbows overhead.,Raise cable bar overhead by extending elbows until arms are positioned straight and vertical. Lower cable bar behind neck by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Repeat.,"Triceps Brachii,","None, ","Deltoid, Anterior, Pectoralis Major, Clavicular, Wrist Flexors, ",,,Upper Arms,2,Posterior Deltoid,
97,Triceps Extension:  with rope,Cable,Yes,Basic or Auxiliary,Isolated,Push,"From low pulley cable, grasp ends of rope attachment just under enlarged ends. Raise one arm over head while turning body away from pulley. Face away from pulley with feet staggered. Position ends of ropes behind head or neck and elbows upward over head.",Raise ends of rope overhead by extending forearms until arms are straight. Lower rope attachment until forearms are against upper arms. Repeat.,"Triceps Brachii,","None, ","Deltoid, Anterior, Pectoralis
Major, Clavicular, Wrist Flexors, ",,,Upper Arms,2,Posterior Deltoid,96
