,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
528,Glute-Ham Raise,Barbell,No,Basic or Auxiliary,Isolated,Pull,"Place ankles between ankle roller pads with feet on vertical platform and position knees on pad with lower thighs against large padded hump. If barbell can safely be placed on horizontal handles, grasp barbell in upright position and place behind shoulders. If barbell is placed on floor, lower torso by extending knees and flexing hips, then position barbell on back of shoulders. Grasp bar to sides.","From lower position, raise torso by extending hips until fully extended. Continue to raise body by flexing knees until body is upright. Lower body by straightening knees until body is horizontal. Continue to lower torso by bending hips until body is upside down. Repeat.","Hamstrings,","Gluteus Maximus, Adductor Magnus, Gastrocnemius, Sartorius, Gracilis, Popliteus, ","Erector Spinae, ","Rectus Abdominis, Obliques, Tibialis Anterior, ",,Thighs,4,"Hamstrings, Gluteus Maximus",
529,Good-morning,Barbell,No,Basic or Auxiliary,Isolated,Pull,Position barbell on back of shoulders and grasp bar to sides.,"Keeping back straight, bend hips to lower torso forward until parallel to floor. Raise torso until hips are extended. Repeat.","Hamstrings,","Gluteus Maximus, Adductor Magnus, ","Erector Spinae, ","Rectus Abdominis, Obliques, ",,Thighs,3,"Hamstrings, Erector Spinae",
530,Hyperextension,Barbell,No,Basic or Auxiliary,Compound,Pull,Position thighs prone on large pad and lower leg under padded brace. Place barbell on back of shoulders and grasp bar to sides.,Raise upper body until hip and waist are fully extended. Lower body by bending hips and waist until fully flexed. Repeat.,"Hamstrings,","Erector Spinae, Gluteus Maximus, Adductor Magnus, ","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Triceps, Long Head, Brachialis, Brachioradialis, Biceps Brachii, Trapezius, Lower, Pectoralis Minor, Rhomboids, ",,,Thighs,2,"Erector Spinae, Gluteus Maximus",
532,Straight-leg Deadlift,Barbell,No,Basic,Compound,Pull,"Stand with shoulder width or narrower stance on shallow platform with feet flat beneath bar. Bend knees and bend over with lower back straight. Grasp barbell with shoulder width overhand or mixed grip, shoulder width or slightly wider. Lift weight to standing position.","With knees straight, lower bar toward top of feet by bending hips. After hips can no longer flex, bend waist as bar approaches top of feet. Lift bar by extending waist and hip until standing upright. Pull shoulders back slightly if rounded. Repeat.","Hamstrings,","Erector Spinae, Gluteus Maximus, Adductor Magnus, ","Trapezius, Middle, Rhomboids, Latissimus Dorsi, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Thighs,3,"Hamstrings, Erector Spinae",
534,Lying Leg Curl,Cable,No,Basic,Isolated,Pull,Attach two ankle cuffs to low pulley attachment. With cuffs on both ankles lie prone on flat bench with knees just beyond edge of bench. Grip under side or base of bench for support.,Raise ankles to glutes by flexing knees. Lower ankles until knees are straight. Repeat.,"Hamstrings,","Gastrocnemius, Sartorius, Gracilis, Popliteus, ",,"Tibialis Anterior, Rectus Femoris, ",,Thighs,2,Hamstrings,
535,Standing Leg Curl,Cable,No,Basic or Auxiliary,Compound,Pull,"Attachfoot harnessto low pulley. With foot harness on one ankle, grasp support bar with both hands and step back with other foot. Elbows remain straight to support body. Attached foot is slightly off floor.",Pull cable attachment back by flexing knee until knee is fully flexed. Return by straightening knee to original position and repeat. Continue with opposite leg.,"Hamstrings,","Gastrocnemius, Gracilis, Sartorius, Popliteus, ","Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ","Tibialis Anterior, ",,Thighs,2,Hamstrings,
536,Straight-leg Deadlift,Cable,No,Basic or Auxiliary,Compound,Pull,Stand between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.,"With knees and back straight, bow forward by bending hips until hamstrings are tight, or just before lower back bends. Raise body upright by extending hips until standing. Pull shoulders back slightly at top of lift if rounded. Repeat.","Hamstrings,","Gluteus Maximus, Adductor Magnus, ","Erector Spinae, Trapezius, Middle, Rhomboids, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Thighs,3,"Hamstrings, Erector Spinae",
537,Straight-leg Deadlift,Dumbbell,No,Basic or Auxiliary,Compound,Pull,Stand with shoulder width or narrower stance. Grasp dumbbells to each side.,"With knees straight, lower dumbbells by bending hips until hamstrings are tight, or just before lower back bends. Lift dumbbells by extending hips until straight. Pull shoulders back slightly at top of lift if rounded. Repeat.","Hamstrings,","Gluteus Maximus, Adductor Magnus, ","Erector Spinae, Trapezius, Middle, Rhomboids, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ","Rectus Abdominis, Obliques, ",,Thighs,3,"Hamstrings, Erector Spinae",
538,Kneeling Leg Curl,Lever (plate loaded),No,Basic,Isolated,Pull,Mount machine by placing supporting knee on horizontal pad and other leg under roller pad with knee against vertical pad. Grip handles and place forearm on padded arm rest.,Raise ankle to back of thigh by flexing knee. Lower ankle until knee is straight. Repeat. Continue with opposite leg.,"Hamstrings,","Gastrocnemius, Gracilis, Sartorius, Popliteus, ","Gluteus Medius, Gluteus Maximus, ","Tibialis Anterior, ",,Thighs,2,Hamstrings,
539,Seated Leg Curl,Lever (plate loaded),No,Basic,Isolated,Pull,Sit on apparatus with back against padded back support. Push hand lever to lower leg pads. Place legs in between pads. Release hand lever gradually. Grasp handles to sides with each hand.,Pull lever to back of thighs by flexing knees. Return lever until knees are straight. Repeat.,"Hamstrings,","Gastrocnemius, Gracilis, Sartorius, Popliteus, ",,"Tibialis Anterior, ",,Thighs,2,Hamstrings,
