,Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
566,Standing Calf Raise,Barbell,No,Basic,Isolated,Push,Set barbell on power rack upper chest height with calf block under barbell. Position back of shoulders under barbell with both hands to sides. Position toes and balls of feet on calf block with arches and heels extending off. Lean barbell against rack and raise from supports by extending knees and hips. Support barbell against verticals with both hands to sides.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","No significant stabilizers, ",,,Calves,2,"Gastrocnemius, Soleus",
567,Standing Calf Raise,Cable,No,Basic,Isolated,Push,Place cable belt or dip belt around waist. Kneel before low pulley and attach belt to cable. Stand on calf block and grasp support bar for balance. Position toes and balls of feet on calf block with arches and heels extending off.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","No significant stabilizers, ",,,Calves,2,"Gastrocnemius, Soleus",
568,Standing Calf Raise:  One Arm Single Leg Calf Raise,Cable,Yes,Basic or Auxiliary,Isolated,Push,Stand facing low pulley with platform on floor. Bend over and grasp stirrup attachment with one hand. Stand on edge of platform and grasp support bar for balance. Position toes and balls of feet on platform with arches and heels extending off. Lift one leg up off of floor.,Raise heel by extending ankle as high as possible. Lower heel by bending ankle until calf is stretched. Repeat.,"Gastrocnemius,","Soleus, ","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,,Calves,3,"Gastrocnemius, Soleus",567
569,Standing Calf Raise,Dumbbell,No,Basic,Isolated,Push,Grasp dumbbell in one hand to side. Position toes and balls of feet on calf block with arches and heels extending off. Place hand on support for balance.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Gluteus Medius, Gluteus Minimus, ",,,Calves,2,"Gastrocnemius, Soleus",
570,Standing Calf Raise:  Single Leg,Dumbbell,Yes,Basic or Auxiliary,Isolated,Push,Grasp dumbbell in one hand to side. Position toes and balls of feet on calf block with arches and heels extending off. Place hand on support for balance. Lift other leg to rear by bending knee.,Raise heel by extending ankle as high as possible. Lower heel by bending ankle until calf is stretched. Repeat. Continue with opposite leg.,"Gastrocnemius,","Soleus, ","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",,,Calves,3,"Gastrocnemius, Soleus",569
571,45° Calf Press,Lever (plate loaded),No,Basic,Isolated,Push,Sit on seat with back on padded support. Place feet on platform. Grasp handles to sides and extend hips and knees. Place toes and balls of feet on lower portion of platform with heels and arches extending off.,Push platform by extending ankles as far as possible. Return by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","No significant stabilizers, ",,,Calves,3,"Gastrocnemius, Soleus",
572,Calf Extension,Lever (plate loaded),No,Basic,Isolated,Push,Sit on seat and position forefeet on lever platform. Grasp handles to sides and straighten knees.,Push lever by extending ankle as far as possible. Return by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","No significant stabilizers, ",,,Calves,2,"Gastrocnemius, Soleus",
573,Seated Calf Press,Lever (plate loaded),No,Basic,Isolated,Push,Place seat away from platform. Sit on seat with lower back against back of seat. Place toes and balls of feet on lower portion of platform(s) with heels and arches extending off. Grasp handles to sides and straighten knees.,Push lever platform(s) by extending ankles as far as possible. Return by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","No significant stabilizers, ",,,Calves,2,"Soleus, Gastrocnemius",
574,Standing Calf Raise,Lever (plate loaded),No,Basic,Isolated,Push,Place shoulders under padded lever. Position toes and balls of feet on calf block with arches and heels extending off. Grasp handles or sides of padded lever. Stand erect by extending hips and knees.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, ",,,Calves,2,"Gastrocnemius, Soleus",
575,45° Calf Raise,Lever (selectorized),No,Basic,Isolated,Push,Sit on machine with low back against padding and grasp handles to sides. Position toes and balls of feet on lower portion of platform or foot bar with arches and heels extending off. Straighten knees.,Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.,"Gastrocnemius,","Soleus, ","No significant stabilizers, ",,,Calves,3,"Gastrocnemius, Soleus",
